Aviary,Year,Male,Female,Eggs
LSA,2003,MGOL,FYDR,5
LSA,2003,MGOL,F2LO,1
LSA,2003,MLOY,FGRG,2
LSA,2003,MROR,FGDG,1
LSA,2003,MWD,FLOR,5
LSA,2003,MWD,F2LO,3
LSA,2003,MY,FLRY,34
LSA,2003,MY,F2ON,1
LSA,2003,MYRD,FORM,1
LSA,2003,MYRD,FYOG,3
LSA,2003,MYRD,FMYG,3
LSA,2003,MYRD,F2RW,0
LNA,2003,MDLO,FNRG,7
LNA,2003,MDLO,FOG,4
LNA,2003,MDOG,FOYL,4
LNA,2003,MDYG,FLGY,7
LNA,2003,MDYG,FGYR,2
LNA,2003,MDYG,FOLM,1
LNA,2003,MRYR,FNY,1
LNA,2003,MRYR,FMON,1
LNA,2003,MRYR,FORG,1
LNA,2003,MRYR,F2LR,0
LNA,2003,MRYR,F2RG,0
LNA,2003,MRYR,FYRW,0
LNA,2002,MDYG,FLOG,6
LNA,2002,MDYG,FDYD,3
LNA,2002,MLBL,FBRD,10
LNA,2002,MNWL,FRW,4
LNA,2002,MRYR,FGWG,4
LNA,2002,MRYR,FYWY,5
LNA,2002,MRYR,FGLG,4
LNA,2002,MWD,FWL,22
LNA,2002,MWD,FMRO,3
LNA,2002,MWD,FMRD,1
LNA,2002,MY,F2GO,8
LNA,2002,MYRD,FLYL,1
LSA,2002,MYRM,FYML,3
LSA,2002,MRY,FWRW,6
LSA,2002,MRY,FO2D,13
LSA,2002,MRY,FLOL,2
LSA,2002,MLMN,FNOR,1
LSA,2002,MLMN,FDOD,0
LSA,2002,MLMN,FDR,0
LSA,2002,MLMN,FMYM,0
LSA,2002,MLMN,FWB,0
LSA,2002,MLMN,FWN,0
LSA,2002,MLMN,FYBO,0
