FEMALE,PB?,RATTLE TIMING,Onset certain?
FBPL,Y,0,N
FBPL,Y,0.1334668,Y
FBPL,Y,0.1001001,Y
FBPL,Y,0.3670337,Y
FBPL,Y,0.2335669,N
FBPL,Y,0.0667334,N
FBPL,Y,0.1668335,Y
FBPL,Y,-0.1668335,N
FBPL,Y,0.2002002,N
FBPL,Y,0.1334668,N
FBPL,Y,0.1334668,Y
FBPL,Y,-0.4004004,Y
FBPL,Y,0.1001001,N
FBPL,Y,0.1334668,N
FBPL,Y,-0.3670337,Y
FBPL,Y,-0.0667334,Y
FBPL,Y,0.6006006,Y
FBPL,Y,0.4671338,Y
FBPL,Y,0.3003003,Y
FBPL,Y,0.0667334,N
FBPL,Y,0.4004004,Y
FBPL,Y,0,N
FBPL,Y,0.0333667,Y
FLMW,N,0.4004004,Y
FLMW,U,1.001001,N
FLMW,U,0.6339673,N
FLMW,N,0.5672339,Y
FLMW,U,0.7674341,N
FLMW,U,0.9676343,N
FLMW,Y,0.1334668,N
FLMW,N,0.333667,Y
FLMW,Y,-0.1001001,N
FLMW,Y,0.0667334,N
FLMW,Y,0.1001001,N
FLMW,Y,0.6006006,N
FLMW,N,0.9342676,N
FLMW,N,1.7017017,N
FLMW,N,0.4004004,N
FLMW,N,0.8341675,N
FLMW,N,0.8341675,N
FLMW,N,0.2669336,N
FLMW,N,0.2335669,N
FLMW,N,0.2335669,N
FLMW,N,0.1001001,Y
FLMW,N,0.1334668,Y
FLMW,N,0.333667,Y
FLMW,N,0.1668335,Y
FLMW,N,-0.7674341,N
FLMW,N,0.1001001,N
FLMW,Y,0.1668335,N
FLMW,N,0.2669336,N
FLMW,N,0.2669336,N
FLMW,N,0.4671338,N
FLMW,N,0.6339673,N
FLMW,N,0.2335669,Y
FLMW,N,0.4671338,Y
FLPB,Y,0.2669336,Y
FLPB,Y,0.2002002,Y
FLPB,Y,0.1668335,Y
FLPB,Y,0.23357,Y
FLPB,Y,0.6006006,Y
FLPB,Y,0.5672339,Y
FLPB,N,0.3670337,N
FLPB,N,1.8351685,N
FLPB,Y,0.2002002,Y
FLPB,Y,0.667334,Y
FLPB,Y,0.4004004,Y
FMGW,Y,0.9009009,Y
FMGW,Y / N,1.0343677,Y
FMGW,Y,0.3003003,N
FNGH,N,0.43377,N
FNGH,Y,0.4337671,N
FNGH,Y,0.7007007,N
FNGH,Y,0.4004004,N
FNGH,U,0.2002002,N
