"","Female","leaves","rattles","lunges","total.response","name","aviary","both","chatters"
"1",1,2,165,4,171,"FNOW","LAMA",8,157
"2",2,3,112,4,119,"FRLP","DARW",11,101
"3",3,4,100,0,104,"FLMW","LAMA",12,88
"4",4,9,55,3,67,"FOYN","LAMA",10,45
"5",5,23,43,5,71,"FLPB","LAMA",11,32
"6",6,14,35,10,59,"FBPL","DARW",1,34
"7",7,13,33,1,47,"FNGH","LAMA",3,30
"8",8,29,25,0,54,"FNHW","DARW",2,23
"9",9,15,9,2,26,"FMGW","LAMA",3,6
"10",10,23,6,4,33,"FLRH","LAMA",0,6
"11",11,13,3,7,25,"FWNR","LAMA",0,3
"12",12,51,1,0,52,"FWLY","DARW",0,1
