"","Song","Treatment","count","numTrials","prop","sem"
"1","Song 1","aControl",14.5,53,0.273584905660377,0.0763868257462196
"2","Song 1","BPChatter",7,54,0.12962962962963,0.0394118791179206
"3","Song 1","Chatter",0.5,54,0.00925925925925926,0.00925925925925926
"4","Song 1","WhiteNoise",2,51,0.0392156862745098,0.037037037037037
"5","Song 2","aControl",9,52,0.173076923076923,0.0504158451651683
"6","Song 2","BPChatter",1,54,0.0185185185185185,0.0185185185185185
"7","Song 2","Chatter",0,53,0,0
"8","Song 2","WhiteNoise",1,51,0.0196078431372549,0.0185185185185185
"9","Song 5","aControl",5,54,0.0925925925925926,0.0430799998546518
"10","Song 5","BPChatter",1,54,0.0185185185185185,0.0185185185185185
"11","Song 5","Chatter",1,54,0.0185185185185185,0.0185185185185185
"12","Song 5","WhiteNoise",0,53,0,0
"13","Song 4","aControl",4.5,54,0.0833333333333333,0.0336855034772685
"14","Song 4","BPChatter",0,54,0,0
"15","Song 4","Chatter",0.5,53,0.00943396226415094,0.00925925925925926
"16","Song 4","WhiteNoise",2.5,54,0.0462962962962963,0.0376447956331753
"17","Song 3","aControl",3,52,0.0576923076923077,0.0448156475552369
"18","Song 3","BPChatter",1.5,54,0.0277777777777778,0.0277777777777778
"19","Song 3","Chatter",0,54,0,0
"20","Song 3","WhiteNoise",0,54,0,0
