"","X","Song","Treatment","count","prop","oneSEM"
"1",1,"Song 1","Control",57,0.52777778,0.136965853634139
"2",2,"Song 1","Chatter",11,0.10185185,0.068785453509739
"3",3,"Song 2","Control",23.5,0.21759259,0.103650986931658
"4",4,"Song 2","Chatter",9,0.08333333,0.050077101048111
"5",5,"Song 3","Control",18,0.16666667,0.100581300844446
"6",6,"Song 3","Chatter",8.5,0.0787037,0.0612442433116803
"7",7,"Song 4","Control",14,0.12962963,0.0502906504222232
"8",8,"Song 4","Chatter",6,0.05555556,0.0422414064604043
"9",9,"Song 5","Control",14.5,0.13425926,0.060140653040586
"10",10,"Song 5","Chatter",10,0.09259259,0.0452426395502131
