"","X","Female","leaves","rattles","lunges","total.response","name","aviary","both","chatters","chatMDC","cubeLeaves"
"1",1,1,2,165,4,171,"FNOW","LAMA",8,157,83,1.25992104989487
"2",2,2,3,112,4,119,"FRLP","DARW",11,101,69,1.44224957030741
"3",3,3,4,100,0,104,"FLMW","LAMA",12,88,59,1.5874010519682
"4",4,4,9,55,3,67,"FOYN","LAMA",10,45,29,2.0800838230519
"5",5,5,23,43,5,71,"FLPB","LAMA",11,32,28,2.84386697985157
"6",6,6,14,35,10,59,"FBPL","DARW",1,34,33,2.41014226417523
"7",7,7,13,33,1,47,"FNGH","LAMA",3,30,22,2.35133468772076
"8",8,8,29,25,0,54,"FNHW","DARW",2,23,24,3.07231682568585
"9",9,9,15,9,2,26,"FMGW","LAMA",3,6,9,2.46621207433047
"10",10,10,23,6,4,33,"FLRH","LAMA",0,6,1,2.84386697985157
"11",11,11,13,3,7,25,"FWNR","LAMA",0,3,2,2.35133468772076
"12",12,12,51,1,0,52,"FWLY","DARW",0,1,1,3.70842976926619
