Female,Pairbonded,TopMale,PropTopSongs,nTopSongs,nEggs,Aviary,EggsAssigned,Disrupted
FBWB,False,ML2M,0.5135135135135135,19.0,0.0,0,False,True
FDOP,False,ML2M,0.45454545454545453,5.0,0.0,0,False,True
FDW,False,ML2M,0.5,4.0,0.0,0,False,True
FGD,False,ML2M,0.6,3.0,0.0,0,False,True
FGRN,True,MGNB,0.9302325581395349,80.0,0.0,0,False,True
FLRG,False,ML2M,0.35714285714285715,5.0,0.0,0,False,True
FM2L,True,MGBG,0.7058823529411765,24.0,0.0,0,False,True
FN2D,True,MDMD,0.9964221824686941,557.0,0.0,0,False,True
FN2R,False,ML2M,0.42857142857142855,3.0,0.0,0,False,True
FOMG,True,MGBG,0.9090909090909091,60.0,0.0,0,False,True
FRLR,False,ML2M,0.7333333333333333,11.0,0.0,0,False,True
FYBL,True,MGNB,0.7272727272727273,64.0,1.0,0,False,True
FBMB,True,MR2M,0.8787878787878788,29.0,0.0,1,False,True
FGOG,False,MYRM,0.7272727272727273,8.0,0.0,1,False,True
FLBM,True,MLNR,0.8020833333333334,77.0,4.0,1,False,True
FLG,True,MRG,0.8076923076923077,21.0,0.0,1,False,True
FNGW,True,M2YL,0.9333333333333333,56.0,0.0,1,False,True
FNO,True,MLY,0.8152173913043478,75.0,1.0,1,False,True
FNRL,True,MWNL,0.6875,55.0,0.0,1,False,True
FOGO,True,MYRM,0.9864864864864865,219.0,4.0,1,False,True
FOLW,True,M2YL,0.875,42.0,4.0,1,False,True
FORO,False,MYRM,0.4375,7.0,0.0,1,False,True
FPDY,False,MYRM,0.47368421052631576,27.0,0.0,1,False,True
FR2G,True,MRG,0.648936170212766,61.0,0.0,1,False,True
FYB,False,MYRM,0.8333333333333334,20.0,1.0,1,False,True
FBL,True,MWRG,0.8555555555555555,77.0,0.0,2,True,True
FBON,False,MWRG,0.5555555555555556,5.0,0.0,2,True,True
FL2D,True,MDOD,0.8536585365853658,70.0,0.0,2,True,True
FLWR,True,MWRG,0.875,42.0,1.0,2,True,True
FO2R,True,MLNL,0.8,32.0,0.0,2,True,True
FOD,True,MLNL,0.9130434782608695,63.0,0.0,2,True,True
FONM,True,MDRD,0.9029126213592233,93.0,0.0,2,True,True
FOR,True,MWRG,0.9622641509433962,153.0,0.0,2,True,True
FORW,True,MRDR,0.88,44.0,0.0,2,True,True
FOY,True,MLNL,1.0,52.0,0.0,2,True,True
