Bird,Mate,Degree,Cohesion,fEggs,mEggs,Aviary,Score
FN2D,MDMD,4,,0.0,1.0,0,0.22608318151196283
FM2L,MGBG,4,,0.0,1.0,0,0.22608318151196283
FOMG,MGBG,4,,0.0,1.0,0,0.22608318151196283
FGRN,MGNB,3,,0.0,1.0,0,0.22608318151196283
FYBL,MGNB,3,,1.0,2.0,0,0.22608318151196283
FNGW,M2YL,6,,0.0,1.0,1,0.06369923299130903
FOLW,M2YL,6,,4.0,5.0,1,0.06369923299130903
FLBM,MLNR,6,,4.0,5.0,1,0.06369923299130903
FNO,MLY,5,,1.0,2.0,1,0.06369923299130903
FBMB,MR2M,4,,0.0,1.0,1,0.06369923299130903
FLG,MRG,4,,0.0,1.0,1,0.06369923299130903
FR2G,MRG,4,,0.0,1.0,1,0.06369923299130903
FNRL,MWNL,4,,0.0,1.0,1,0.06369923299130903
FOGO,MYRM,5,,4.0,5.0,1,0.06369923299130903
FYR,MDML,5,,0.0,1.0,2,0.1646846631680607
FL2D,MDOD,4,,0.0,1.0,2,0.1646846631680607
FONM,MDRD,4,,0.0,1.0,2,0.1646846631680607
FO2R,MLNL,5,,0.0,1.0,2,0.1646846631680607
FOD,MLNL,5,,0.0,1.0,2,0.1646846631680607
FOY,MLNL,5,,0.0,1.0,2,0.1646846631680607
FORW,MRDR,3,,0.0,1.0,2,0.1646846631680607
FBL,MWRG,5,,0.0,1.0,2,0.1646846631680607
FLWR,MWRG,5,,1.0,2.0,2,0.1646846631680607
FOR,MWRG,5,,0.0,2.0,2,0.1646846631680607
FBLN,MB2M,7,,0.0,1.0,3,0.07133577131174558
FBNM,MB2M,7,,0.0,1.0,3,0.07133577131174558
F2RL,MBWD,5,,1.0,2.0,3,0.07133577131174558
FM2R,MN2W,4,,1.0,2.0,3,0.07133577131174558
FGBD,MNGO,8,,1.0,2.0,3,0.07133577131174558
FL2W,MWLG,8,,0.0,1.0,3,0.07133577131174558
FOWD,MYLO,9,,5.0,6.0,3,0.07133577131174558
FOMG,MGWD,6,,5.0,6.0,4,0.09060766040233821
FYBL,MGWD,6,,22.0,28.0,4,0.09060766040233821
FGLG,MMLR,3,,0.0,1.0,4,0.09060766040233821
FOGO,MW2R,2,,17.0,18.0,4,0.09060766040233821
FONM,MW2R,2,,0.0,18.0,4,0.09060766040233821
FOY,MWMG,3,,9.0,10.0,4,0.09060766040233821
FNGW,MBWD,2,,0.0,1.0,5,0.08961278588058606
F2RD,MDBR,3,,1.0,2.0,5,0.08961278588058606
FM2O,MDBR,3,,0.0,2.0,5,0.08961278588058606
FL2D,MGRG,2,,5.0,6.0,5,0.08961278588058606
FOD,MGRG,2,,5.0,11.0,5,0.08961278588058606
FR2G,MN2W,4,,3.0,4.0,5,0.08961278588058606
FPDY,MNGO,5,,0.0,1.0,5,0.08961278588058606
FBL,MYLO,3,,7.0,8.0,5,0.08961278588058606
FOWD,MYLO,3,,17.0,25.0,5,0.08961278588058606
FGOG,MDGR,1,,11.0,12.0,6,0.08815650038816411
FMLO,MDGR,1,,0.0,12.0,6,0.08815650038816411
