Aviary,Countable,Cohesion,EggScore,nFemales,nEggs,nBonded,nLaying,PropLaying,EggsPerLayer,EggsPerPair,EggsPerFemale,PropSingle,PropSingleLaying,EggsPerSingleLayer
0,False,0.22608318151196283,1.678387246455559,12,1.0,5,1,0.08333333333333333,1.0,0.2,0.08333333333333333,0.5833333333333334,0.0,
1,False,0.06369923299130903,0.705376295733335,13,13.0,9,4,0.3076923076923077,3.25,1.4444444444444444,1.0,0.3076923076923077,0.25,1.0
2,False,0.1646846631680607,2.13952886883839,11,1.0,10,1,0.09090909090909091,1.0,0.1,0.09090909090909091,0.09090909090909091,0.0,
3,False,0.07133577131174558,0.8632732157503701,13,8.0,7,4,0.3076923076923077,2.0,1.1428571428571428,0.6153846153846154,0.46153846153846156,0.3333333333333333,2.0
4,False,0.09060766040233821,,27,53.0,6,4,0.14814814814814814,13.25,8.833333333333334,1.962962962962963,0.7777777777777778,0.3333333333333333,4.142857142857143
5,True,0.08961278588058606,0.5693022831903387,15,38.0,9,6,0.4,6.333333333333333,4.222222222222222,2.533333333333333,0.4,0.3333333333333333,1.0
6,True,0.08815650038816411,0.8240762356275618,19,44.0,11,7,0.3684210526315789,6.285714285714286,4.0,2.3157894736842106,0.42105263157894735,0.25,9.5
7,False,0.10399141622372883,,24,11.0,5,3,0.125,3.6666666666666665,2.2,0.4583333333333333,0.7916666666666666,0.3157894736842105,6.833333333333333
8,True,0.10115343505710953,0.8832806209184151,14,53.0,7,6,0.42857142857142855,8.833333333333334,7.571428571428571,3.7857142857142856,0.5,0.2857142857142857,8.0
9,True,0.14749191450753812,1.3265133588665645,9,35.0,8,5,0.5555555555555556,7.0,4.375,3.888888888888889,0.1111111111111111,1.0,1.0
10,True,0.11544698737150094,0.9587659324163749,10,21.0,9,6,0.6,3.5,2.3333333333333335,2.1,0.1,0.0,
11,False,0.08339263400559795,0.8381997926545978,17,70.0,9,8,0.47058823529411764,8.75,7.777777777777778,4.117647058823529,0.47058823529411764,0.125,1.0
12,True,0.07966174842676714,2.1764513428243424,13,75.0,12,11,0.8461538461538461,6.818181818181818,6.25,5.769230769230769,0.07692307692307693,0.0,
13,True,0.10168108234910232,1.239283771508341,12,43.0,11,7,0.5833333333333334,6.142857142857143,3.909090909090909,3.5833333333333335,0.08333333333333333,0.0,
14,False,0.08823302193736043,1.7882201846259531,13,57.0,12,10,0.7692307692307693,5.7,4.75,4.384615384615385,0.07692307692307693,0.0,
15,True,0.17515581653273987,1.241894529939045,11,31.0,9,6,0.5454545454545454,5.166666666666667,3.4444444444444446,2.8181818181818183,0.18181818181818182,0.5,1.0
16,True,0.2545563251350422,1.435695855931701,10,47.0,10,7,0.7,6.714285714285714,4.7,4.7,0.0,0.5,
17,True,0.10587442613644711,0.612828445697572,21,41.0,16,10,0.47619047619047616,4.1,2.5625,1.9523809523809523,0.23809523809523808,0.4,5.5
18,True,0.10795318439351709,1.0553510721887518,19,57.0,11,9,0.47368421052631576,6.333333333333333,5.181818181818182,3.0,0.42105263157894735,0.5,3.5
